ID;Başlık;Yazar;Yazar ID;İşaretler;Favori mi?;Favori Sayısı;Yorum Sayısı;İçerik;Oluşturulma Tarihi;Güncelleme Tarihi
"14383061";"meditasyon";"wa";"201668";"share report vote";"Evet";"21";"0";"''meditasyonda herhangi bir amaca yönelinmez, daha doğrusu sonuca koşullanılmaz: o varlığınızın merkezine yolculuk ve oradaki tanıklıktır ki ancak içeriye doğru bakışla mümkündür. ama unutulmaması gereken gerçek şudur: daha kapsamlı ve geniş bir bilinçlilik durumu demek olan meditasyon, hiç kimsede gerçekte varolmayan bir şeyi ortaya çıkaramaz: aksine zaten varolan bir yere ve oradaki bir şeye ulaşılmasını sağlar. o nedenle asla belli bir amaca varmanın aracı olarak düşünülmemelidir: o zaman bu çabaların bir işe yaramayacak olması bir yana zaten yapılmaya çalışılan şey de gerçek anlamda meditasyon olmaz. meditasyon, zihinden sonra bilincin de doğru algılanmasına ve bu nedenle de adeta zekanın yeniden keşfedilmesine neden olacaktır: çünkü onun sayesinde algılar değişmiş, hatta algılamanın boyutu ve işlevi farklılaşmıştır. meditasyon bir zihin hali olmadığı, ya da ona zihin ile ulaşılamayacağı içindir ki, o sırada elde edilecek sonuçların farklılaşması doğaldır. işte bu nedenledir ki ancak zihnin bu kapalı halinde gerçek özgürleşmenin ayırdında olunabilir. özellikle belirtmemiz gereken bir husus da meditasyonun dünyadan kaçış değil, aksine yaşamı kavrayış olduğudur... meditasyon düşüncenin olmaması halidir. tıpkı bulutlar olmadığında mavi gökyüzünün tüm görkemiyle görünebilmesi gibi, düşünme olmadığında da düşünceler tarafından gizlenen şeyi tanımaya başlayabiliriz. düşünceler kayboldukça bilincimiz uyanır, gerçek benliğimiz yavaş yavaş ortaya çıkar. meditasyon, düşüncenin sona ermesiyle zaman ve mekanın ötesinde farklı bir boyutun algılanabilmesine olanak sağlar. bu boyuta ulaşıldığında gerçek sevginin özgürce devinimi gözlemlenir. bu nedenledir ki meditasyonu bilmeyen bir kalbin zamanla çöle dönüşmesinin kaçınılmaz olduğu söylenir.'' *";"13.11.2008 20:27";"13.11.2008 20:31"
"1455385";"meditasyon";"sirius";"21727";"share report vote";"Evet";"5";"0";"yapılan tanımlar çerçevesinde en etkili meditasyon yöntemlerinden birinin spor olduğu açıkça görülebilir.";"22.07.2002 20:57";""
"22781";"meditasyon";"abani";"7096";"share report vote";"Evet";"33";"0";"zihni düşüncelerden arındırma veya zihinsel enerjiyi enerjiyi bir noktaya yoğunlaştırma gibi yöntemlerle, ruhsal sorunların çözülmesi, başarı oranının arttırılması...";"06.08.1999";""
"27575404";"meditasyon";"kozmosta bir nokta";"943255";"share report vote";"Evet";"22";"0";"""biz duyuların ve eylemlerin dış dünyasını biliyoruz, fakat duyguların ve düşüncelerin iç dünyası hakkında bildiklerimiz çok az. meditasyonun başta gelen amacı içsel yaşamımızın farkına varıp, onunla yakınlık kurmamızdır. nihai amaç, hayatın ve bilincin kaynağına ulaşmaktır. sırası gelmişken, meditasyon uygulaması karakterinizi derin biçimde etkiler. bizler bilmediklerimizin esiriyiz: bildiklerimizin ise efendisi. içimizde her ne kusur ya da zayıflık keşfedersek ve onun nedenlerini ve işleyiş biçimini anlarsak, sadece bu bilme onu yenmemiz demektir: bilinçaltında olan, bilinç düzeyine çıkarıldığı zaman eriyip gider. bilinçaltının çözülüşü enerjiyi serbest bırakır: zihin kendini yeterli hisseder ve sakinleşir."" - sri nisargadatta maharaj, ben o'yum.";"28.02.2012 00:58";""
"53196710";"meditasyon";"dunyanin kapilari";"1246261";"share report vote";"Evet";"15";"0";"osho'ya göre hayattaki küçük şeyleri rahat bir farkındalıkla yapma sanatı. osho der ki: ""yemek yerken bütünlük içinde ye, doyasıya çiğne, doyasıya tat, doyasıya kokla. ekmeğe dokun, dokusunu hisset. onu çiğne, benliğinde çözülmesine izin ver ve bilincini koru: o zaman meditasyon yapmış olursun ve o zaman meditasyon hayattan bağımsız olmaz."" bir mağaraya kapanmaksızın, yarın olmasını beklemeksizin kişinin kendisine yapabileceği en faydalı şey de denilebilir bu açıdan bakınca. bir şeyi layıkıyla yapabilmek. işte bütün mesele bu.";"14.07.2015 16:54";"14.07.2015 16:58"
"9357266";"meditasyon";"lydx";"56690";"share report vote";"Evet";"17";"0";"günlük yaşam sırasında devamlı olarak algısal veri girişine maruz kalan zihin, daime düşünme sürecinin aktif olmasına sebep olur, meditasyonsa tüm bu aktivitelerin yatışmasına ve zihnin daha sakin, daha barışçı ve odaklanabilir hale gelmesini sağar. meditasyon, farkındalığın tazelenmesidir. meditasyon yapan kişilerin yaşadığı deneyimler, kişiden kişiye değişir. gevşeme, rahatlama, artmış farkındalık, zihinsel odaklanma, huzur duygusu, vs vs vs... kişinin meditasyonda düzenli olması ve meditasyon sırasında konsantre kalmak için fazla zorlamadan makul bir çaba göstermesidir. düzenli uygulama ile birey kaçınılmaz şekilde belli bir meditasyon pratiğinde artmış anlayış ve yeterlilik edinir. bazıları konsantrasyon meditasyonunu, gün boyunca bireyin düşünce ve eylemlerinde sakin ama artmış bir farkındalığı sağlamaya çalıştığı düşüncesel meditasyona bir ön basamak olarak kullanırlar. bazıları içinse meditasyon primer olarak spiritüel bir uygulamadır.";"03.04.2006 11:21";"03.04.2006 11:23"
"72036700";"meditasyon";"copcuyeataryapancocugunkemeri";"1271837";"share report vote";"Evet";"34";"0";"herkes meditasyonun nasıl yapılması gerektiği ve ne anlama geldiği hakkında yorumlar yapmış. bende meditasyon yapmayı başarmış ve bunu hayatının bir parçası haline getirmiş olan insanların yaşamış olduğu değişimlere değinmek istiyorum. psikolojik sağlığı etkileyen şeyler sanılanın aksine daha çok dışarıdan gelenler değil, içeriden gelenlerdir. kişinin bunu kavradığı an ilk olarak yapması gereken iç sesini durdurmaktır ki arkadaşlar iç sesin ne olduğundan bahsetmişler. işte meditasyon burada devreye girer. meditasyona başlayan insan yaşamaktan büyük haz almaya başlar ve mutluluk duyar. çalışmalarına devam eden kişi içsel huzuru ve ruh sağlığını kazanır. artık hayata bakış açısı tamamen değişir. yapılan her olaya pozitif bakmaya başlar ve içerisinde iyi niyet arayarak bulurlar. içindeki vesveselerden kurtulan kişi içsel huzuru bulur ve önyargılarını bir rafa kaldırarak, tanıdığı tüm şahıslara sevgi ve saygı çerçevesi içerisinde bakmayı öğrenir. din, dil, ırk, mezhep, cinsiyet, renk ve cinsel yönelim vb... gibi sınıf ayrımı yapmaksızın, her konuda koşulsuz iyi niyetli bir yaklaşım sergiler. geçmiş hayatındaki kötü tecrübeleri bir kenara bırakıp anda yaşamaya başlayan insan, gelecek ile ilgili kaygı ve korkularından arınır. böylece kafasının içerisinde olan binlerce söylemden kurtulur. vesveseler akıldan ve kalpten çıktıkça boşalan yerlere yepyeni inanışlar ve anlayışlar gelir. bu yeni inanış ve anlayışlar kişiyi adeta baştan yaratır. bir süre sonra ortaya çıkan kişilik her olayı perspektif bir şekilde yorumlayarak geleceğe doğru emin adımlar atmaya başlar. bir işe başlarken: ""yine kötü olursa!"" korkusundan arınan kişi çok daha isabetli kararlar verir ve özgüveni gittikçe yükselir. özel hayatında ki edindiği kötü tecrübelerden sonra kimseye inanmayıp düzgün birliktelikler yaşayamayan kişi bir anda kendisinin dahi şaşıracağı kadar sağlıklı ilişkiler yaşar. anlar ki hayatına yeni giren kişi de yenidir ve eskiler ile en ufak bir bağı yoktur. bu yeni kişi hiç tanımadığı, geçmişte kalmış biri ya da birileri yüzünden haketmediği davranışlar ile karşılaşmaz. insanların pek çoğu elinde olmadan bilinçaltının yaptırımlarına maruz kalır. bilinçaltı doğası gereği kişiyi koruma altina alarak, istemediği davranışlara zorlayabilir. ne bilinçaltının ne de kişinin niyeti kötü değildir. ikisinin de niyeti olası bir zarar görmeyi öncesinden engellemektir. bazen elinde çiçek demeti ile bize gülümseyerek gelen insanı tehdit olarak görebiliriz. işte bu gibi durumları aşmak için ruhsal sağlığa kavuşmalıyız. bu da ancak bilinçaltının temizlenmesi ile olur. bilinçaltının temizlenmesi için de hergün fırsat buldukça meditasyon yapmalı ve tavsiyem olarakta uyumadan 15 dk mum ışığı eşliğinde yapmalıyız. 21 gün düzenli olarak yaparsanız bu alışkanlığı kazanırsınız. oluşan değişim sonrasında insanlardan aldığınız geribildirim size kendinizi harika hissettirecek. gün içerisinde bol bol da su içerseniz içinizin huzuru yüzünüzde parlayacaktır. sevgiyle kalın...";"11.11.2017 03:02";""
"113135291";"meditasyon";"uyuyunca da gecmiyo";"1363370";"share report vote";"Evet";"72";"0";"ilk defa ne zaman meditasyon yaptığımı hatırlamayacak kadar uzun süredir meditasyon yapıyorum. zaman içinde yaptığım meditasyonlar çeşitlense de beni rahatlatan hep en basit olanlar ve yıllardır yaptıklarım oldu. meditasyonu ne amaçla yaptığınız önemli. rahatlamak için mi, geçmişin yüklerinden kurtulmak için, sahip olmak istediğiniz şeyleri yaratmak için mi, çakralarınızı dengelemek için mi, kanallık yapmak için mi. her yerde bulabileceğiniz bilgileri yazmayı sevmiyorum. kendi deneyimlerimi, eğitimlerden öğrendiklerimi paylaşmayı daha işlevsel buluyorum. * sessizlik en rahatlatıcı meditasyondur. eğer kendinizle kaldığınızda rahatsızlık hissediyorsanız, kafanızın içindeki sesler sizi zorluyorsa nefes tekniklerini kullanmanızı öneririm. ve yine zihniniz sizi zorladığında o sesin haykırmasına izin verin, o sesle savaşarak bir şey elde edemezsiniz. bırakın konuşsun, o da sizin bir parçanız. sizin içinizde tuttuklarınız, yaptıklarınız, yaşadıklarınız o sesin kaynağı. * denizi, sakin bir gölü izlemek. özellikle yıkıcı eril alandaysanız bunu yapmanızı çok öneririm. su, dişiliğin enerjisi. durgun su dengeli dişil çalışmak için ideal. üstelik denizi izlemek çok keyifli. deniz yok diye tercih listeme ankara 'yı yazmamıştım. uzun süre denizi izlemeden geçirdiğimde ruhum eksiliyor. * mum yakıp ateşini izlemek. ateş elementinin enerjisini çok seviyorum. alevlerin kendi içinde oluşturduğu dansı izlemek hayranlık uyandırıyor. hiçbir şey yapmadan sadece alevi izleyin. çok güzel kokulu mumlar, vanilya kokusu son zamanlarda favorim oldu. * klasik müzik dinleyerek duş almayı deneyimlemediyseniz tavsiye ederim. su ve müziğin birleşimi bedeni canlandırıyor, ruhu arındırıyor. birkaç yıl silence eşlik etti duş rutinime. son zamanlarda moonlight sonata eşlik ediyor. bu müziklerin 528 hz olanları da var ancak aynı ritmi hissettirmediği için tercih etmiyorum. * uykuya geçme aşamasında metal ya da dram içeren müzikler dinlememek bile meditasyondur. uyumadan önce ""her şey berbat gidiyor, allah kahretsin. "" temalı bir müzik dinleyip ertesi gün yataktan mutlu çıkmayı beklemeyin. son zamanlarda bedenim yağmur sesi ile uyumak istediği için ben yağmur sesini tercih ediyorum. dönemsel dinlediğim müzikler değişiyor. çok güzel! sakinleşmek için yukarıdaki basit ama etkili yöntemleri deneyimlemeniz yeterli olacaktır. * affetmek için meditasyon yapıyorsanız youtube da bir sürü örneğini bulabilirsiniz. ben bu tip çalışmaları yönlendirmeli meditasyon ile yapamadığım için tercih etmiyorum. mistik yol sayfasının yönlendirmeli meditasyonlarını beğeniyorum. kendinize uygun olanı deneyimleyebilirsiniz. affetme çalışmaları yaparken kendinizi de affetmeyi unutmayın. * yaratım meditasyonları benim en sevdiklerim. en basit olanını yazmıştım diye hatırlıyorum. gözlerinizi kapatıp istediğiniz her ne ise ona sahipmiş gibi hissedip o histe 17 saniye kalabilmek. enerjiden oluşmuş varlıklarız, hayallerimizle evren eşit enerjide titreşirse o hayal mutlaka gerçek olur. imajinasyon meditasyonlarda önemli ancak yaratım meditasyonlarının kaynağı imajinasyon yapmak. hayal edin, hayalleriniz olsun. özellikle theta frekansına çıkabiliyorsanız çok daha verimli olur, ancak olumsuz düşünleriniz olmamalı. yaratım meditasyonu yapacaksanız özellikle thetahealing tekniği içerenleri tercih etmenizi öneririm. benim satın aldığım ve eğitimden edindiğim iki güzel meditasyon var ancak bir süredir yaratım yapmak hem ihtiyaç duymadığım hem de içimden gelmeyen bir konu. * çakralarınız için yapabileceğiniz temel meditasyonları çakra yazılarımda belirtmiştim. hepsini buradan okuyabilirsiniz. * bonus : kalp atış sesi frekansının 528hz olduğu geçen ay öğrendim. sevdiklerimin kalp atış sesini dinlerken neden yüzümde tebessüm olduğunu ve o sesin bana neden çok iyi geldiğini anlamamı sağladı. gerçeğini dinleyebiliyorsanız sevdiğiniz birinin göğsüne koyun başınızı, dinleyemiyorsanız bununla deneyimleyebilirsiniz. meditasyon: ruhunuza ve bedeninize sizi duyuyorum, ihtiyaçlarınızla ilgileniyorum ve seviyorum demenin güzel bir yoludur.";"17.09.2020 23:42";"26.01.2021 20:59"
"109455119";"meditasyon";"oztrink";"1069637";"share report vote";"Evet";"25";"0";"havalandırma metaforunu seviyorum. hani saatlerce bir odada çalışırsınız bir anda havalandırma kapanır ve büyük bir sessizlik olur? siz de “ulan ne kadar gürültü varmış” diye düşünürsünüz. bir rahatlama gelir. meditasyon da öyle hissettirir. zihin bütün gün havalandırma misali çalıştığı için şarteli kapattığınızda rahatlarsınız. bu sadece dik bir oturuşa geçip mantra ile nefes alıp vermek gibi anlaşılmasın. güneşin doğuşunu izlemeye çıktığınızda, kapkaranlık bir gökyüzünde yıldızlar soluğunuzu kestiğinde, bir ağacın güzelliğiyle büyülenip kaldığınızda da olabilir. dünyevi saçmalıkları, koşturmayı, telaşı, kıyaslamayı, yetersizliği, güvensizliği, stresi serbest bırakıp an’a geldiğinizde meditasyon olur. ve havalandırma sistemi kapanır.";"28.06.2020 00:02";""
"78957648";"meditasyon";"bolontiku";"1410553";"share report vote";"Evet";"6";"0";"şöyle bir benzetme yapayım. çok stresli bir anınızı düşünün, bir sınav sonucu veya önemli bir tahlil sonucu bekliyorsunuz. ve sonucun istediğiniz gibi olduğunu öğrendiğiniz anı düşünün. o iç boşalması anı, tam göbeğinizden geçiyor, rahatlama, mutluluk ve yeniden doğmuş gibi olma hissi. işte bu hissin daha uzun zaman dilimine yayıldığını düşünün. bundan daha keyifli bir şey var mı?";"08.07.2018 15:55";""
"21885717";"meditasyon";"pelinistan";"591007";"share report vote";"Evet";"7";"0";"kaliforniya üniversitesinde yapılan bir araştırmada, günde 6 saat meditasyon yapan kişilerde ""telomerase"" enziminde ortalama %30 daha fazla aktivite tespit edilmiş. bu enzim de hücre yaşlanmasını azaltıyor ya da durduruyormuş. (bkz: university of california)";"30.01.2011 17:39";"30.04.2011 03:14"
"31232921";"meditasyon";"oceansize";"1112862";"share report vote";"Evet";"4";"0";"""uyku, bilinçsiz bir meditasyon, meditasyon ise bilinçli bir uykudur."" gibi de tanımlanmıştır.";"08.12.2012 16:25";""
"5767548";"meditasyon";"aegeus";"30951";"share report vote";"Evet";"7";"0";"bir kere sürekli hale getirdikten sonra bağımlılık yapan aktivite. alkolizm halt etmiş yanında.";"18.09.2004 13:32";""
"3793735";"meditasyon";"vestia";"21641";"share report vote";"Evet";"9";"0";"her şeyden vazgeçebilen ve hayat hakkında meditasyona dalan kimse, ruhu meditasyonla temizlenmiş kimsedir denizdeki gemiye benzetilebilir. sahile ulaşan bir gemi gibi o da zorlukları aşmıştır. sutra-kritanga sutra";"15.01.2004 21:34";""
"260384";"meditasyon";"sebze";"8012";"share report vote";"Evet";"17";"0";"dusuncesiz farkindalik...dikkatin dusuncesiz konumda oldugu biliclilik hâli...simdiki zamanin farkina varilmasina, ic huzura ulasmaniza yardimci olur ...nasıl yapilir ? yemek tarifi gibi olucak ama hadi bakalım .. rahat bi sekilde oturulur (toprak vibrasyonundan faydalanilmasi tavsiye olunur) eller dizin üstünde avuçlar yukariya dogru acik ve ne hissedildigini gozlemler bi vaziyette, icinden mantralar söyleyerek ...""ideal konum tamamiyle bagimsiz,acik ve rahat olmaktir .""meditasyon un yarım saat bi saat v.s. gibi bir kısıtlaması yoktur genelde 10-15 dakika surer.. bazi ögretilere göre değişik saatlerde yapılması tavsiye olunur. bazılarında gece uyku öncesi bazilarinda ise sabah erken bi saatte 4-5 gibi meditasyon yapilmasi tavsiye olunur..";"08.11.2000 11:18";"23.02.2005 10:03"
"53413695";"meditasyon";"murzim";"1294125";"share report vote";"Evet";"2";"0";"binlerce yöntemi, ekolü, çeşidi olan tazelenme yöntemi. sanırım meditasyonu ifade edilebilecek en iyi kelime tazelenme olacaktır. çünkü her mediatif denemeden sonra mutlaka bir yenilenme ve tazelenme hissi geliyor. ister tüm ritüelleriyle yapın ister yarım yamalak. fark etmiyor. bu tazelenme mevzu pek tabi placebo etkisi de olabilir ki muhakkak alakalıdır. sonuçta her şeyin başı niyet. bu spritüelimzle kafayı bozmuş kimseler kendi çaplarında binlerce yöntem üretir ve sizi o yöntemlerin dışına çıkartmazlar. eh tabi her şeyin uyulması gereken kuralları vardır ama bunlar sarsılmaz, yıkılmaz şeyler değildir. esas olan ""ben""dir ve herkesin kendi yöntemi kısaca ""bence""si vardır. meditasyonda esas olan şey nefestir. her şey nefeste olup bitiyor hatta. el kol hareketleri, oturuş pozisyonları falan bir yere kadar işlevsel. asıl mevzu nefes ve niyet.";"22.07.2015 22:29";""
"38742619";"meditasyon";"orategama";"1257161";"share report vote";"Evet";"8";"0";"kendim dediğiniz şeyi ve diğer varlıkları anlayabileceğiniz, böylece daha insanca bir varoluşa ulaşabileceğiniz farkındalık kazanma yöntemi. ana fikir kendimizi ve dünyayı anlamladırıp, benmerkezci yanılgı ve takıntılarımızdan kurtulmak. nefes alış verişlerinizin izlenmesi bir gevşeme etkisi yaratır ve çoğu batılı meditasyon hocası her şeyi burada bitirir. oysa bu daha başlangıç. hırslarım, üzüntülerim, öfkem orada duruyor, belki panik atak hastası olmuşum, arada nefesi izleyip gevşedikten sonra sorunlu yaşamıma geri döneceğim. arada kendimi şarj edip sonra yine pili tüketeceğim. ama meditasyon burada bıraklımayıp zihnin yapısı anlaşılmak üzere devam edilse, şarja gerek kalmayacak, pil bitmeyecek. bunun için temel önermeyi bilmek gerekiyor: geçicilik ve değişkenlik içinde her şeyin birbiriyle bağlantılı bir varoluşu paylaştığı önermesi. herkesten ve her şeyden korumam gereken, her şeyin en iyisine sahip olmak zorunda olan sevgili, biricik ""kendim"" anlayışının yanılgısını görmek. kendim dediğimiz şeyin beden, duygu, düşüncelerden ve zihnimizdeki diğer şeyleri yöneten hırs, takıntı ve yanılgılardan oluştuğunu, bunların da diğer varlıkların, nedenlerin ve koşulların etkisiyle varolduğunu farketmek. mutlak olarak korumanız veya elde etmek hırslanmanız gereken bir şey olmadığını görürseniz, panik atak, depresyon gibi sorunlarınız olmaz. daha kapsamlı bilgi için buddhanın öğretilerine başvurmanız tavsiye olunur. zen budizmden değil, tarihsel olarak daha eski ve temel öğretiler olan theraveda öğretilerinden ya da tibet budizminden başlanması, sonra diğerlerine yönelinmesi daha faydalı olacaktır.";"05.12.2013 21:58";""
