,date,rating,review
29,2021-01-26 06:03:48,1,All sessions should be free.
30,2021-01-10 22:55:07,1,Neden hersey parali??!!?!??!
31,2020-09-05 13:29:15,4,"I have been using the free content for a while and I should say that the app is great. However, the price is too high for an avarage person and even higher for the students who sometimes need this kind of meditation to relief. Definitely upgrading to premium if they offer discount."
32,2020-06-22 13:35:28,5,İngilizce bilmeyen yüklemesin hayatta anlayamaz
33,2020-05-03 13:09:20,5,Sea is wonderfull
34,2020-05-03 19:33:45,4,Fena değil :)
35,2020-04-01 19:02:00,5,Türkçe versiyon?
36,2020-04-25 01:07:25,1,Apple bu uygulamayı tavsiye ediyorsa o apple a
37,2020-04-03 19:30:06,3,App crashes constantly and it's a huge problem. I can't even meditate for 8 minutes because it keeps shutting down.
38,2020-03-28 16:10:12,5,I want to congradulate you for this fantastic program
39,2020-03-25 18:55:10,5,here for 5sos
40,2020-02-28 09:32:37,5,"**Abonelikle ilgili çoğu insanın sıkıntısı olmuş, arkadaşlar bu ücretli bir uygulama lütfen bir işe başlamadan deneme sürümünün detaylarını okuyun, -deneme sürümünün bitiş tarihini takip edin-, o detayları anlayacak kadar İngilizceniz yoksa da bir zahmet uygulamayı kullanmaya başlamayıp silin. Bildiğim kadarıyla Türkçe meditasyon uygulamaları da var.**
TR
Calm uygulamasını yaklaşık 3 yıldır biliyorum ve yaklaşık 3-4 aydır da abone olarak kullanıyorum. Uygulamaları anlayacak yeterli İngilizce düzeyine sahipseniz kesinlikle tavsiye ederim. (Meditasyon tecrübeniz olması ya da olmaması hiç farketmiyor)Ayrıca bu zamana kadar birçok yeni özellikler eklendiğine şahit oldum ve eklenmeye de devam ediyor,kısacası memnun kalırsınız.

EN
Today I tried Calm body for the first time,I would like to see more body sessions on Calm.Thanks!"
41,2020-01-13 22:38:01,5,"Thank you Calm community. This app changed me. I feel my breath mindfully now and I can bear my back pain, control my anxiety. Moreover I really enjoy my happy moments. Even people around me notice the difference. I just would like to have a bit more of the videos on Calm Body section. Especially with Christian Slomka. Slow and not pushy exercising videos are really helpful with pain. Really need more!"
42,2020-02-03 12:55:27,1,Does not worth the price
43,2020-02-01 10:52:47,3,I just don’t like that there is nothing for free except very few it’s a great app but you really need to free some of them!
44,2019-10-26 22:32:49,5,Denemeye değer tavsiye ederim
45,2019-11-29 16:43:55,1,I paid a year subscription but I could not use it. No way to reach costumer care. They took my money and gave me nothing in return.
46,2019-11-06 20:31:28,4,Programda her şey düşünülmüş. Farkındalık dakikası verilerinin sağlık uygulamasında gözükmesi ve değişik yema seçenekleri çok etkileyici. Ücretsiz özellikler var ama fiyatı ülkemize göre ayarlansa daha iyi olur ücretli üyelik alınamayacak kadar pahalı.
47,2019-10-13 07:47:14,5,Can you make a program to decrease exam stress. I am stressed out for the university exam :(((
48,2019-09-01 22:20:41,5,Zeyd
49,2019-09-27 05:41:55,1,I can not unsubscribe...
50,2019-06-11 04:49:53,5,"İngilizce içeriği zaman zaman beni zorlasa da ses tonlamaları ile, arka plan sesleriyle muhteşem bir uygulama. Yıllık üyelik aldım. Türkçe meditasyon app üyeliğimi iptal ettim.  Bu uygulamadan çok daha etkili sonuç aldım. Teşekkürler."
51,2019-02-02 12:49:36,5,It is a great app that anytime and anywhere to catch up the calming and relaxing body and mind.
52,2019-05-05 10:02:40,1,Arkadaşlar ben denedim siz denemeyin. Yararı bile yok.
53,2019-04-24 20:34:17,1,"İptal etmeye çalışıyorum, denemedim bile... yardım rica ederim"
54,2019-04-18 05:13:07,1,Ben de 1 hafta deneme yükledim 1 hafta sonra aboneliğe mi geçecek .otomatik abone mi yapacak acaba ?
55,2019-03-18 11:23:17,2,"Merhaba, uygulamayı uzun zaman önce sildim. Mart 2 sinde tekrar 2020 ye kadar abonelik ücreti kesilmiş. İptal etmek ve ücret iadesi talep etmek istiyorum. Lütfen yardımcı olun."
56,2019-03-02 19:26:34,1,Ultra gereksiz bir uygulama. Sleep music kanalı zaten Spotify ile ücretsiz dinleyebildiğin şeyler. İngilizce hikayeler var. Sweatcoin ile aldım ama tam bir pişmanlık
57,2019-02-22 08:41:20,1,I hate it when you download an app thinking some of the content is free to find out it’s just a 7-day-trial (written in tiny letters). And it says the app will automatically renew its subscription??! Will I be charged after week?
58,2019-02-05 17:43:36,1,Bu proğrama istemeden abone oldum. Lütfen aboneliğimi iptal edin..
59,2019-01-27 05:29:07,1,100 küsür para verdim ve beni sakinleştirmesi gerekirken sinir kat sayımı yükseltti. Buna verdiğim parayı bir çocuğu mutlu etmek için ya da ihtiyacı olan birisine vermek için harcadaydım çok daha mutlu ve huzurlu olurdum.
60,2018-09-23 09:40:17,5,Thanks and hello from Turkey 😊👍
61,2019-01-17 17:13:36,1,Arkadaşlar 1 hafta uygulamayı denedikten sonra aboneliği iptal etmeyi sakın unutmayın. Sadece uygulamayı silmiştim 200tlmi çekmişler hala kendime gelemiyorum.Stres seviyem 10a katlandı. İtunes ayarlardan abonelikler kısmından iptal ediliyor aman diyim
62,2019-01-13 12:02:23,1,"I downloaded the app and while set up i seen a note that saying its not free. Im not sure if i registrated, if so i dont want to use the app. What should i do if i already register?"
63,2019-01-09 13:48:03,2,Türkçe dil desteği gelmeli.
64,2019-01-06 11:58:26,4,"Yanlışlıkla abone oldum, nasıl iptal edebilirım"
65,2019-01-03 05:49:25,1,"The paid fee for the program is not in our favor to make a paid fee for us too. Do not download this program does not allow you to test, you need to deposit your money in advance for the trial version."
66,2019-01-02 11:47:20,1,Deneme süresi dolmadan en az 24 saat önce account setting bölümünden üyeliği sonlandırmak gerekiyor yoksa otomatik olarak devam ediyor ve ücret alınıyor.manage subscription’a girip here’a tıkladığınızda da app store’a yönlendiriyor aboneliği iptal et’e bastığınızda yeni yüklemiş de olsanız 1 hafta ücretsiz deneme geçerli oluyor.
67,2018-12-20 05:59:05,1,Ücretsiz gibi yapılan uygulama gözüksede indirdiğiniz an bir hafta içinde 199 lira hesabınızdan çekiyor ve Türkcell biz birşey yapamayız i tunes store u arayın diyor iptal etmek için hala uğraşıyorum sakın indirmeyin benden tavsiye
68,2018-11-19 21:46:12,1,"İçeriğindeki tüm herşey paralı 7 gün deneme diyor olduki unutursanız seneliği 200 tl, böyle bi aplikasyona hayatta para vermem ki ücretsiz neler neler var, boşuna indirmeyin."
69,2018-11-12 17:45:13,1,"It’s one of those apps that trick you into paying a lot of money for a crappy so-called meditational aid that can easily be accessible on any meditation site on Google, as well."
70,2018-07-28 21:29:25,5,Hayır o çok ayrı bi mesele sen bedava olan kısmını kullanıyorsun :)
71,2018-08-17 12:12:04,1,Deneme Aboneliğini kolayca nasıl iptal edebilirim. Bu konuda bilgi verilmemesi ciddi bir eksiklik. Sanki insanlar gafil avlanıyor
72,2018-04-20 09:10:36,5,İngilizceniz var ise kullanın. Gerçekten işe yarıyor. İlk 159 lira muhabbeti ise gerçek değil sağ üst köşede x e basınca kullanabiliyorsunuz uygulamayı. Uygulama kaliteli işe yarıyan ve gerçekten kendinizi iyi hissettiren bir program.
73,2018-07-21 21:45:41,1,Para tuzağı. Habersizce 200 tl çekiyorlar. İptal etmek için de çok uğraşırsınız. Aman uzak durun !!
74,2018-07-13 00:08:34,1,"Ücretsiz deneme kullanıyordum ve bugün 199,99TL kartımdan çekilmiş! Deneme sürem ne zaman bitti, uyarı maili geldi mi farkında değilim. O kadar App kullanıyorum hiç böyle gaflete düşmemiştim. İade istiyorum, bu app’i kullanmayacağım. Çok pahalı. Böyle biri başına gelen var mı, ne yapmam lazım??"
75,2018-07-09 01:13:45,1,"I downloaded the app, then I sign up with my e-mail. I saw a screen about the prices. I touched the button of “X” and I choose nothing about the prices. Will I going to pay something?"
76,2018-06-11 02:31:09,1,İ didnt bought the app and U steal my money .. but i will get my money back u will see...
77,2018-05-16 17:40:42,1,Uygulamayı ücretsiz diye indirdim. Ancak bir hafta sonra 119.99 tl hesabımdan çekildi. Kesinlikle indirmeyin. Altta ufak puntolarla açıklama koyuyorlar ve normal olarak siz görmeyince uygulamayı kuruyorsunuz bir hafta sonunda sizden otomatik para çekiliyor.
78,2018-05-15 19:43:09,1,7 günlük deneme sonunda 120 lira ödemeyi peşinen kabul edecekseniz indirin.
79,2018-02-26 17:36:36,1,7 günlük mükemmel bir meditasyon dersinden sonra diğer tüm derslerin paralı olduğunu ve yıllık üyelik ücretinin saçma pahalı olduğunu üzüntüyle fark ettim.
80,2018-01-25 01:59:33,5,Such a great app! I’m impressed.
81,2018-02-02 18:50:12,1,boşuna yüklemeyin herşey paralı kotanıza yazık
82,2018-01-18 08:52:03,5,Rahatlama konusunda bana yardim ettigini dusunuyorum
83,2018-01-24 19:01:06,2,Uygulama biraz siniri alsın rahatlatsın diye indirdim iyice sinirim bozuldu aq
84,2018-01-03 02:02:38,5,Are you disco mk cahilleri türkce yorum atın şikayet yeri değil burası
85,2017-12-24 15:15:40,5,"I like the app alot. But right now, it is not working?"
86,2017-12-28 20:21:05,2,"app is crushing on my iphone x, since i got it!"
87,2017-12-03 08:16:36,5,I do use it for sleeping
88,2017-12-17 22:22:48,4,Soktumunun salakları bu Türkiye mağazası neden İngilizce yazıyorsunuz. Zannediyor musunuz programı yazanlar gelip okuyacak. Yaz kendi dilinde yorumunu bilelim nasıl bir uygulama bu. Mal herifler sizi.
89,2017-10-29 13:01:14,5,Perfect interface and intense guidance! I liked the weekly programmes. Definetly worth it
90,2017-10-17 16:59:37,5,I know it from google chrome web browser extension...
91,2017-10-01 20:03:42,5,Great app but the last update has some bugs. Hope they’ll get fixed soon
92,2017-10-09 05:54:22,1,"İki tane bedava inglizce hikaye koymuşlar , geri kalan herşey hatırı şekilde pahalı. Tavsiye etmiyorum..."
93,2017-09-15 15:31:23,5,Superb 😊
94,2017-09-09 08:02:54,5,I still love it. I have completed more than 100 consecutive days with meditation and I owe it to Calm.
95,2017-09-04 14:55:22,5,👌🏻
96,2017-09-03 21:04:51,5,Its a great app. It has introduced me to meditation and it feels amazing.
97,2017-09-01 05:27:04,5,🤗👍🏻
98,2019-12-01 22:12:45,5,"hi! first of all, i really wish we could access to daily calm archives and listen them whenever we wanted even if it’s not todays. some of them are really nice so i want to save them but unfortunately i can’t. another note to developer is that i would like to be able to create the so called “playlists” which i can play certain meditations on repeat or one time so that i can listen to my faves without opening them manually when one meditation ends all the time. finally, because dollar is rising incrediby  in our country, your subscriptions’ prices are becoming less affordable to people from our country but i don’t think you’ll decrease your prices just for this, i’m just letting you know about it. maybe you can do a discount or sth?? i dunno. anyways, i like this app so much and it helped me a lot through my hard times. i want to thank each and every person who involved in the making of this app. have a great day.                            
                                                         ~Pera"
99,2019-02-14 10:54:45,1,"They used to give 7 days programmes as free. Now it requires a 7-days trial to use them as well (which not surprisingly automatically subscribes to the premium content). 

Shame on you for going corporate."
100,2017-09-17 14:20:28,5,*****
101,2017-08-08 10:09:01,5,"Please support after ı update the app today, ı cannot reach the menu"
102,2017-08-10 20:01:31,3,I love this app but the meditation tab has not been functional since the last update 1.2.1. please fix.
103,2017-08-10 11:49:27,1,"Uygulamaya giriş yapamıyorum. Daha hızlı bir internete bağlanın veya online olun diyor ancak zaten hızlı bir wi-fi bağlantım var ve başka hiçbir uygulamada sıkıntı yok, demek ki internetimde sorun yok. Bu yüzden ne giriş yapabiliyorum ne üye olabiliyorum ne de facebook ile bağlanabiliyorum."
104,2017-06-20 14:21:51,5,Very pleased eith the outcome.
105,2017-06-20 16:12:52,1,Don't download it. Just don't.
106,2017-05-20 06:36:21,5,Liked it 💕
107,2017-04-04 15:50:21,5,"Harikulade bir uygulama, vereceğiniz her kuruşa iki defa değecektir."
108,2017-02-28 19:52:36,5,Very good for beginners and experts too!
109,2017-02-25 23:52:56,5,"Harika bir uygulama, özellikle de sleep stories özelliği tam aradığımdı. 😴"
110,2017-02-27 01:03:04,4,Güzel beğendim nefes düzeni için ayrı bir bölümü var hoş.
111,2017-02-16 19:47:51,5,"I was suffering from poor attention and forgetting daily activities. I have been using calm for two months, it helps me learning to slow down. I feel more awareness over my activities. Good job, try it."
112,2017-02-18 06:11:16,1,"I tried to reconnect my account. Even though I was sure with the app the app didn't accept my password. Consequently I hit the ""Forget Password"" button, the app didn't accept my new password as well. I tried the same ritual for four times but no..."
113,2017-02-11 09:45:01,5,Hayattan artık daha farklı beklentileriniz varsa ve bunu anı yaşayıp gerçekleştirmek istiyorsanız denemeniz gereken bir uygulama...
114,2017-02-04 20:32:01,5,"Even the free ones are very good references f meditation. A good, easy start for bringing your attention to now!"
115,2017-02-02 13:03:26,5,"I have been using Calm more than 3 months now, and I can easily say that it changed my life. It helped me to understand the importance of breath, but that was just a start: Upgrading my life quality, being able to be aware of my mental health without supressing any emotions,making easier my relationships with people around me, and loving myself...In this modern age we all need new perception towards the world and ourselves and in my opinion meditation is the key for this. So, those who made this app available; thank you."
116,2017-01-26 09:48:40,5,Great job!! This is the best app I have ever seen!
117,2016-12-26 05:44:07,5,"Thanks a lot! You make my day more brighter, more productive, fuller on the moments and most important you make me organized! Meditation have changed me totally."
118,2016-12-17 21:17:58,5,"To be honest, I wasnt expecting this to be really calming but here I am writing my first comment ever. Great!"
119,2016-10-18 06:44:39,4,Very good app but too expensive
120,2016-08-22 08:50:02,5,Meditasyon adina beklentilerinizi karsilayan bir uygulama
121,2016-10-15 06:42:45,4,I highly recommend especially for managers under stress.
122,2016-08-18 11:18:50,5,"app store'daki en iyi meditasyon uygulaması desem yalan olmaz.ekran videoları,müzikleri ve günlük programıyla en iyi hizmeti sunuyor.tek eksiği türkçe programların olmaması.en kısa zamanda bunu da eklemenizi diliyor ve beynimi arındırmaya gidiyorum."
123,2016-08-11 15:33:17,5,Great
124,2016-07-18 09:38:53,5,I use this app everyday and several times. With different programs and practices I've become and avid meditator and could not count all the good it has done for me.
125,2016-06-21 04:14:30,5,A great tool to practice mindfulness and returning to the Now
126,2016-05-15 12:49:52,5,I like it very much.
127,2016-05-11 05:23:15,5,"This app brought short breaks and calmness to my life, highly recommended!"
128,2016-05-02 12:56:53,5,İş yoğunluğu bulunanlar için muazzam bir app. Düşünmeden yıllık paket aldım.
129,2016-04-13 18:48:13,5,I suggest this app to so many people. All of them liked it a lot. Very helpful exercises. The duration of meditations are perfect. Thank you for creating such a wonderfull tool for meditation🙏
130,2016-04-01 03:46:41,5,Perfect app for meditation
131,2016-03-16 18:47:06,5,Awsome
132,2016-02-25 08:18:59,5,Download Calm and give it your time to grow. İts a really good app and will make you feel better
133,2016-02-04 05:44:58,5,Best app
134,2016-01-07 21:01:54,5,"Such a great app. Provided me my intro to meditation, and i'm using it every day as a source of inner balance. Highly advised!"
135,2015-12-13 20:37:00,5,"If you have minutes for yourself, it is very useful."
136,2015-07-10 01:10:34,5,Wonderful!
137,2015-06-24 21:16:37,5,Perfect for meditation amateurs : )
138,2015-05-29 21:28:25,5,Please add more scenes
139,2015-05-18 00:20:28,5,Denemelisiniz :)
140,2015-04-06 17:59:36,5,"This app really helped me to build a regular practice. It has many guided meditation options for anxiety release, inner strength, creativity and so on. Also great for falling asleep. More guided visualizations and longer sessions would be nice though."
141,2015-03-07 15:19:15,5,"Gerçekten yardımcı oluyor, Pro Access'i de öneririm :)"
142,2015-01-18 16:13:37,5,Wonderful.It worked !
143,2014-10-27 17:09:17,5,It's easy to use and so simple and calming. It helps  me to controll my axiety. Rain is my fav. one ☔️☔️☔️
144,2014-03-26 12:25:50,5,It helped me a lot!Thank you for this app.
145,2013-06-13 14:14:45,4,Give us ipad app please.
